video_id,video_name,minute,text
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,0-1,"This class is divided into
three subclasses, three parts. They are supervised learning. >> Yeah.
>> Unsupervised learning, and reinforcement. So, what do you think
supervised learning is? >> So, I think of supervised learning
as being the problem of taking labelled data sets, gleaning information from
it so that you can label new data sets. >> That's fair. I call that function approximation. So, here's an example
of supervised learning. I'm going to give you an input and
an output. And I'm going to give
them to you as pairs, and I want you to guess
what the function is. >> Sure.
>> Okay? Okay. 1, 1. >> Uh-huh. 2, 4. >> Wait, hang on,
is 1 the input and 1 the output,. >> Yes.
>> And 2 the input, and 4 the output? >> Correct.
>> All right. I'm on, I think I am on to you. >> 3, 9. >> Okay.
>> 4, 16. >> Nice. >> 5, 25. 6, 36. 7, 49. >> Nice. This is a very hip data set. >> It is. What's the function?
>> It's hip to be squared. >> Exactly. Maybe. So if you believe that's true,"
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,1-2,"then tell me if the input is 10,
what's the output? >> 100.
>> And that's right, if it turns out, in fact, that the function is x squared. But the truth is, we have no idea
whether this function is x squared. Not really.
>> I have a pretty good idea. >> You do?
>> Well- >> Where's that idea come from? >> It comes from having spoken with
you over a long period of time. And plus, you know, math. >> And plus math. Well, I'm going to- >> You can't say I'm wrong. >> You're wrong. >> Oh.
>> Yeah, I did. >> You just said I was wrong. >> No, you've talked to me for
a long time, and plus math. I agree with that. >> Okay.
>> But I'm going to claim that you're
making a leap of faith. >> Hm.
>> Despite being a scientist, by deciding that the input is 10 and
the output is 100. >> Sure.
I would agree with that. >> What's that leap of faith? >> Well, I mean, from what you told me,
it's still consistent with lots of other mappings from input to
output like 10 gets mapped to 11. >> Right or
everything is x squared except 10. >> Sure. >> Or everything is x,
x squared up to 10. >> Right, that would be mean- >> That would be mean- >> But it's not logically impossible. >> What would be the median?"
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,2-3,">> A-ha. >> Thank you very much. I, I was saving that one up."
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,0-1,"Well, what you're doing in order to make
that work and what you end up doing in supervised learning and
functions approximation in general, is you make some fundamental
assumptions about the work, right? You decide that you have a well-behaved
function that is consistent with the data that you're given, and with
that, you're able to generalize, and in fact that is the fundamental
problem in machine learning. It is generalization. Now what's behind all of is
I'm going to claim, Michael, you jump in whenever you disagree is
>> I disagree sorry to soon, go ahead. >> is bias and in particular >> bias
>> inductive bias. >> Inductive bias. >> Right, so all of machine learning or certainly supervised learning is about
induction, as opposed to deduction. >> I see.
Induction of course being a problem of going from examples to
a more general rule. >> Right, specifics to generalities. By contrast, deduction is? >> Be the opposite. It would be going from a general
rule to specific instances, basically like reasoning. >> Right, and in fact, a lot of AI in the beginning
was about deductive reasoning,"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,1-2,"about logic programming, those sorts of
things, where you have certain rules, and you deduce only those things that
follow immediately from those rules. So for example,
you'd have something like A implies B. That's a rule in the universe. And then I tell you A. So if you A implies B is a rule in
the universe, and I tell you A, then you also know? >> That A implies B. >> And therefore you can infer that? >> And A. B. >> B. You have A implies B,
you have A, that implies B. >> Okay.
>> That's what we just said. But what,
>> that's deduction. >> That's deduction, but
we just did was not deduction. Before then when I asked you one, one,
two, four, three, nine, four sixteen and so forth. >> Right,
>> we did induction. >> That was induction. >> Induction is more about
did the sun rise yesterday? >> yes.
>> Did the sun rise the day before that? >> yes.
>> Did the sun rise the day before that? >> I slept in. Did the sun rise the day before that? >> Yes. >> Yes. So the sun has risen every day. Is the sun going to rise tomorrow? >> I sure hope so. >> We all hope so, and
we all act like it does,"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,2-3,"because if it doesn't, then there are a
whole bunch of other things we ought to be doing besides sitting in this
studio and having this interview. >> I think we should warn the plants. >> [LAUGH] I don't think
the plants are going to care. >> They are.
They really need sun. I think we all need sun, Mike. >> Eh.
>> So, the idea there is induction is crucial, and
the inductive bias is crucial. We'll talk about all of this in,
in the course. >> Kay.
>> But that's kind of a fundamental notion behind supervised learning and
machine learning in general. >> I agree with that. >> Agreed?
>> Yeah. >> Al lright, so we're on the same page. So that's supervised learning. Supervised learning, you can talk about
it in these high muckity muck ways, but at the end of the day,
it's function approximation. It's figuring out how to take
a bunch of training examples and coming up with some function
that generalizes beyond the data that you see. >> So, why wouldn't you call
it function induction, then? >> because someone said
supervised learning first. Well, there is a- >> No, no, no, no, no.
Sorry. You said supervised learning is function
approximation and I want to say, why don't you say supervised
learning is function induction. >> As opposed to function approximation? >> Yeah. >> Okay. It's a
>> Approximate function induction. >> Or induction of approximate, of. >> Approximate functions? >> Approximate functions,
something like that, yeah. >> You don't want to induce
an approximate function,"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,3-4,"you want to induce the actual function. >> Yeah, but sometimes you can't,
>> Yeah. >> Because sometimes you think
it's quadratic, but it's not. >> I have that as a plaque on my wall. >> You do? >> No. >> Yeah I didn't think so. Okay so that's supervised learning"
1qtfILYSDJY,Unsupervised Learning - Georgia Tech - Machine Learning,0-1,"What about unsupervised learning? >> Right, so unsupervised learning
we don't get those examples. We have just essentially
something like input, and we have to derive some structure
from them just by looking at the relationship between
the inputs themselves. >> Right so give me an example of that. >> So. When you're studying different kinds
of animals, say, even as a kid. >> Mm-hm.
>> You might start to say, oh, there's these animals that
all look kind of the same. They're all four-legged. I'm going to call all of them dogs. Even if they happen to be horses,
or cows, or whatever. But I have developed,
without anyone telling me, this sort of notion that all
these belong in the same class. And it's different
from things like trees. Which don't have four legs. >> Well some do, but I mean, they have,
they both bark, is all I'm saying. >> Did I really set you up for that? >> Not on purpose. >> I, I'm sorry, I want to apologize
to each and every one of you for that. But that was pretty good. Michael is very good at word play. Which I guess is often
unsupervised as well. No, I get a lot of [LAUGH]."
1qtfILYSDJY,Unsupervised Learning - Georgia Tech - Machine Learning,1-2,">> [LAUGH] You certainly
get a lot of feedback. >> Yeah, that's right. So I say, please stop doing that. >> So if supervised learning is
about function approximation, then unsupervised learning
is about description. It's about taking a set of data and figuring out how you might divide
it up in one way or the other. >> Or maybe even summarization
it's not just the description but it's a shorter description. >> Yeah, it's usually concise. Compression. >> Compact description. So I might take a bunch of pixels
like I have here it might say, male. >> [LAUGH] Wait, wait, wait, wait. I'm pixels now? >> As far as we can tell. >> That's fine. >> I however, am not pixels. I know I'm not pixels. I'm pretty sure the rest
of you are pixels. >> That's right.
>> So I have a bunch of pixels, and I might say male. And or I might say female. Or I might say dog. Or I might say tree. But, the point is I don't have a bunch
of labels that say dog, tree, male, or female. I just decide that pixels like
this belong with pixels like this. As opposed to pixels like something
else that I'm pointing to behind me. >> Yeah we're living in a world right
now that is devoid of any other objects. Oh, chairs! >> Chairs!
Right. So these pixels are very different
than those pixels because of"
1qtfILYSDJY,Unsupervised Learning - Georgia Tech - Machine Learning,2-3,"where they are relative
to the other pixels. Say, right? So, if you were looking- >> I'm not sure that's helping me
understand unsupervised learning. >> Go out and, go outside and look at a crowd of people and try to
decide how you might divide them up. Maybe you'll divide
them up by ethnicity. Maybe you'll divide them up by
whether they have purposefully shaven their hair in order to mock the bald or
whether they have curly hair. Maybe you'll divide them
up by whether they have goatees,
>> Facial hair. >> Or whether they have grey hair, there's lots of things that
you might do in order,. >> Did you just point at me and
say grey hair? >> I was pointing and
your head happened to be there. >> Oh come on.
>> Pixels, >> Where's the grey hair? >> It's a two dimensional, right there,
it's right where your spit curl is. All right. >> Okay.
So, imagine you're dividing the world up that way. You could divide it up male, female. You could divide it up short, tall,
wears hats, doesn't wear hats, all kinds of ways you can divide it up. And no one's telling you the right way
to divide it up, at least not directly. That's unsupervised learning. That's description, because now- >> Mm.
>> Rather than having to send pixels of everyone, or having to do a complete
description of this crowd,"
